id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_sekolah,jumlah_sekolah,satuan,tahun_ajaran
268,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SWASTA,46,UNIT,2020/2021
269,32,JAWA BARAT,3279,KOTA BANJAR,NEGERI,4,UNIT,2020/2021
270,32,JAWA BARAT,3279,KOTA BANJAR,SWASTA,13,UNIT,2020/2021
271,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEGERI,11,UNIT,2021/2022
272,32,JAWA BARAT,3201,KABUPATEN BOGOR,SWASTA,350,UNIT,2021/2022
273,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NEGERI,11,UNIT,2021/2022
274,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SWASTA,153,UNIT,2021/2022
275,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NEGERI,28,UNIT,2021/2022
276,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SWASTA,157,UNIT,2021/2022
277,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NEGERI,11,UNIT,2021/2022
278,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SWASTA,128,UNIT,2021/2022
279,32,JAWA BARAT,3205,KABUPATEN GARUT,NEGERI,15,UNIT,2021/2022
280,32,JAWA BARAT,3205,KABUPATEN GARUT,SWASTA,162,UNIT,2021/2022
281,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEGERI,14,UNIT,2021/2022
